symbol,ok,priceBRL,status,message
PEVC11,0,,0,"fetch failed"
PFIN11,0,,0,"fetch failed"
PLCA11,0,,0,"fetch failed"
PLRI11,0,,0,"fetch failed"
PORD11,0,,0,"fetch failed"
PPLA11,0,,0,"fetch failed"
PRSN11,0,,0,"fetch failed"
PSVM11,0,,0,"fetch failed"
RBDS11,0,,0,"fetch failed"
RBHG11,0,,0,"fetch failed"
RBIR11,0,,0,"fetch failed"
RCFA11,0,,0,"fetch failed"
RCRB11,0,,0,"fetch failed"
RELG11,0,,0,"fetch failed"
RINV11,0,,0,"fetch failed"
RNGO11,0,,0,"fetch failed"
RPRI11,0,,0,"fetch failed"
RZAG11,0,,0,"fetch failed"
RZAK11,0,,0,"fetch failed"
RZAT11,0,,0,"fetch failed"
RZTR11,0,,0,"fetch failed"
SCPF11,0,,0,"fetch failed"
SMRE11,0,,0,"fetch failed"
SNAG11,0,,0,"fetch failed"
SNCI11,0,,0,"fetch failed"
SNEL11,0,,0,"fetch failed"
SNFF11,0,,0,"fetch failed"
SNLG11,0,,0,"fetch failed"
SNME11,0,,0,"fetch failed"
SPTW11,0,,0,"fetch failed"
SVAL11,0,,0,"fetch failed"
TEPP11,0,,0,"fetch failed"
TGAR11,0,,0,"fetch failed"
TORD11,0,,0,"fetch failed"
TRBL11,0,,0,"fetch failed"
